Year_Birth;Education;Marital_Status;Income;Kidhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumStorePurchases;NumWebVisitsMonth;Complain;WebPurchases
1967;Graduation;Married;51479;1;67;247;8;160;6;8;65;6;7;0;1
1969;Graduation;Single;54803;0;65;404;0;92;28;27;142;9;4;0;1
1960;Graduation;Married;79530;0;64;333;0;815;129;42;29;11;2;0;1
1976;Graduation;Divorced;31615;1;82;2;3;20;6;11;9;3;7;0;0
1962;Graduation;Together;72025;0;27;833;33;549;151;133;233;8;3;0;1
1975;PhD;Single;52614;0;63;789;0;142;12;9;38;8;8;0;0
1984;2n Cycle;Married;35684;1;66;10;4;7;0;6;3;3;6;0;0
1975;Graduation;Married;48178;1;69;159;4;45;6;2;38;4;8;0;1
1970;Master;Single;29548;1;52;7;1;6;3;1;11;2;4;0;0
1966;Graduation;Single;63810;0;45;977;12;253;16;12;101;12;8;0;1
1972;PhD;Single;38578;1;2;38;4;22;3;3;3;3;8;0;0
1975;Master;Single;46098;1;86;57;0;27;0;0;36;2;8;0;0
1970;Graduation;Single;22585;0;23;3;9;15;13;2;39;2;9;0;0
1989;Graduation;Single;30279;1;13;10;4;14;4;4;1;3;8;0;0
1961;PhD;Together;66426;0;14;1043;24;97;32;24;157;10;6;0;0
1969;Graduation;Single;30822;1;92;3;9;13;2;12;12;3;7;0;0
1969;PhD;Married;33581;2;38;11;0;5;0;0;1;2;8;0;0
1985;Graduation;Married;19986;1;74;3;6;5;0;2;6;3;7;0;0
1954;Graduation;Widow;27421;0;14;43;12;96;78;40;55;6;7;0;1
1973;2n Cycle;Married;35688;2;94;73;3;90;12;1;32;4;8;0;1
1981;Master;Single;36143;1;33;12;0;1;0;0;6;2;3;0;0
1971;Graduation;Single;10245;1;32;4;7;7;6;4;13;2;5;0;0
1968;Master;Together;43795;0;11;314;11;53;4;3;107;4;7;0;1
1960;Graduation;Together;63381;0;78;571;50;142;33;50;159;13;2;0;1
1949;Graduation;Together;38823;0;56;70;0;11;2;8;23;3;6;0;0
1968;PhD;Divorced;83664;1;57;866;21;151;28;21;86;12;5;0;0
1979;Graduation;Together;90300;0;7;594;134;786;33;134;57;8;1;0;1
1979;Master;Together;62499;1;0;140;4;61;0;13;4;6;4;0;0
1993;Graduation;Single;74293;0;66;375;152;335;93;91;81;6;2;0;1
1946;PhD;Married;51012;0;86;102;9;63;2;9;24;4;6;0;1
1968;Master;Married;70777;0;80;554;35;113;0;7;78;12;3;0;1
1991;PhD;Together;68682;0;56;919;0;505;99;30;45;10;2;0;1
1971;Graduation;Married;43824;1;18;96;1;42;12;3;32;4;8;0;0
1984;Graduation;Together;15345;1;51;5;2;16;3;2;19;2;8;0;0
1987;Graduation;Single;23442;1;71;2;0;6;8;6;5;3;7;0;0
1980;2n Cycle;Together;14515;1;71;6;4;9;6;36;35;3;7;0;0
1956;2n Cycle;Divorced;31395;1;80;23;1;25;0;8;7;3;6;0;0
1965;Graduation;Together;75276;0;2;610;105;125;137;42;21;9;5;0;1
1974;Graduation;Single;42373;1;83;67;5;61;3;8;19;5;5;0;0
1960;Graduation;Together;30507;0;29;65;36;74;38;20;110;4;7;0;1
1955;PhD;Single;55521;1;11;416;0;26;0;0;4;6;7;0;1
1965;Graduation;Married;48006;1;55;23;0;11;3;2;2;3;6;0;0
1972;PhD;Single;27213;1;19;19;3;26;10;9;3;4;8;0;0
1971;PhD;Divorced;65808;1;1;155;7;80;13;7;10;5;6;0;1
1974;PhD;Together;30351;1;19;14;0;24;3;3;2;2;9;0;0
1963;Graduation;Married;50437;0;28;370;9;92;6;9;4;8;7;0;1
1982;2n Cycle;Single;23616;1;76;4;22;11;3;7;32;3;8;0;0
1976;Graduation;Married;53858;0;50;407;53;221;58;150;26;6;4;0;1
1955;PhD;Married;66465;0;1;1200;0;204;38;29;14;12;6;0;1
1987;Graduation;Single;46923;1;90;85;44;54;102;78;6;7;7;0;1
1962;Graduation;Together;75072;0;83;583;34;309;0;22;125;8;3;0;1
1943;PhD;Married;75865;0;73;483;0;591;156;0;12;10;1;0;0
1975;2n Cycle;Together;19789;1;24;2;5;9;28;6;28;3;5;0;0
1994;Graduation;Together;80134;0;11;966;26;282;52;26;26;11;5;0;0
1981;Graduation;Single;91065;0;33;822;114;108;179;137;114;9;3;0;1
1971;Master;Married;49505;1;4;604;0;100;19;0;28;8;8;0;1
1973;PhD;Married;37401;1;14;19;3;19;3;1;3;3;7;0;0
1983;Graduation;Married;30096;1;30;5;3;11;12;5;9;3;6;0;0
1982;Master;Together;18492;1;75;2;2;2;2;1;1;2;8;0;0
1974;Master;Married;82584;0;26;1076;68;103;29;91;68;8;1;0;0
1941;PhD;Married;93027;0;77;1285;42;716;55;0;21;5;2;0;1
1953;Graduation;Married;48686;1;8;10;0;7;2;0;1;2;8;0;0
1986;Graduation;Married;92910;0;42;551;137;792;179;103;33;13;1;0;1
1989;Graduation;Married;75433;1;28;800;0;297;0;34;57;10;6;0;0
1989;2n Cycle;Together;10404;1;52;2;2;11;10;6;12;4;5;0;0
1968;Graduation;Married;61314;0;1;378;0;189;97;172;172;12;3;0;1
1961;PhD;Single;84865;0;1;1248;16;349;43;16;16;9;4;0;0
1989;Graduation;Married;42387;1;42;235;0;235;19;4;191;7;8;0;1
1967;2n Cycle;Together;67309;1;76;515;47;181;149;95;95;9;7;0;1
1964;Graduation;Married;75236;0;27;438;66;400;12;38;114;13;4;0;1
1970;Graduation;Single;30015;1;28;25;0;22;2;3;5;4;5;0;0
1956;Master;Together;50943;0;49;31;0;7;2;0;6;3;5;0;0
1966;Graduation;Divorced;67272;0;12;357;35;271;28;28;14;12;5;0;1
1949;Master;Widow;51529;0;14;400;4;35;6;0;22;5;8;0;1
1971;PhD;Married;32011;1;89;99;0;15;2;1;5;4;7;0;0
1986;2n Cycle;Married;7500;1;96;1;11;5;4;6;9;3;8;0;0
1989;Graduation;Married;28691;1;56;5;4;13;8;0;4;3;8;0;0
1948;PhD;Married;56223;0;72;77;28;31;16;0;4;5;4;0;0
1946;Graduation;Married;18100;0;14;3;1;2;4;3;1;3;5;0;0
1989;Graduation;Single;30279;1;13;10;4;14;4;4;1;3;8;0;0
1974;2n Cycle;Married;20130;0;99;0;6;3;7;6;12;3;8;0;0
1959;Graduation;Divorced;23295;0;72;0;0;1;2;12;5;2;8;0;0
1972;Master;Divorced;42618;1;92;76;14;74;13;5;10;4;8;0;1
1964;Graduation;Single;81246;0;87;398;190;537;61;156;37;7;1;0;1
1976;Graduation;Married;24027;1;7;14;7;11;11;0;5;3;8;0;0
1953;PhD;Married;55707;0;91;208;7;82;30;66;35;9;3;0;0
1955;Graduation;Single;57959;0;71;430;16;322;43;24;33;11;3;0;1
1969;Graduation;Married;56796;0;24;656;38;161;62;47;37;7;7;0;1
1971;Master;Single;36230;1;17;14;2;30;8;2;3;4;5;0;0
1980;2n Cycle;Married;70829;1;87;141;70;106;72;19;23;8;3;0;1
1976;Graduation;Married;65991;0;21;507;19;364;25;47;9;10;7;0;1
1972;Graduation;Married;38988;1;90;164;24;103;12;3;42;6;8;0;1
1966;2n Cycle;Single;89572;0;44;606;24;974;197;194;64;9;4;0;1
1984;Master;Married;42207;1;71;116;11;72;3;17;46;5;6;0;1
1952;Graduation;Married;50300;0;52;143;15;60;24;23;5;8;2;0;0
1982;2n Cycle;Together;66664;0;78;398;96;447;220;96;32;6;3;0;1
1964;Graduation;Married;60597;0;2;522;0;257;32;16;66;8;7;0;0
1949;Graduation;Widow;70165;0;60;161;0;253;199;191;122;11;1;0;0
1958;PhD;Widow;50520;0;25;112;0;6;2;1;14;3;6;0;0
1963;Graduation;Married;80124;0;47;483;84;398;205;84;241;8;1;0;0
1975;Graduation;Married;33183;1;46;7;5;39;17;15;37;3;7;0;1
1969;PhD;Single;66582;0;83;789;25;420;16;38;0;9;1;0;0
1955;PhD;Together;75261;0;17;1239;17;413;23;34;17;5;2;0;1
1970;Graduation;Widow;31880;1;13;4;1;5;2;0;3;2;8;0;0
1951;Graduation;Married;53790;0;86;335;42;127;28;5;5;8;6;0;1
1971;PhD;Together;49269;1;92;639;8;166;11;8;58;12;7;0;1
1975;Graduation;Married;61456;0;47;563;76;384;84;192;89;13;4;0;1
1980;Graduation;Married;37406;1;18;2;0;8;2;2;3;2;8;0;0
1981;PhD;Together;56937;1;81;746;8;125;11;8;8;9;6;0;1
1978;Graduation;Married;38415;1;91;22;1;13;4;0;4;3;7;0;0
1988;Graduation;Single;20518;1;58;4;1;6;4;1;9;2;5;0;0
1956;Graduation;Married;62503;0;40;478;0;193;110;75;117;11;5;0;1
1972;PhD;Single;41644;1;67;20;3;4;2;0;2;3;3;0;0
1977;Master;Married;55842;0;19;451;0;39;0;4;24;8;5;0;1
1972;PhD;Married;62010;0;93;371;22;39;6;0;92;7;5;0;1
1977;Graduation;Married;41124;1;41;281;7;84;15;0;119;4;8;0;1
1973;Master;Married;38961;1;60;19;7;19;0;1;24;2;7;0;0
1972;Master;Divorced;37760;1;54;26;3;13;2;10;0;3;6;0;0
1974;Graduation;Single;32233;1;26;138;15;35;25;11;72;2;9;0;1
1975;Graduation;Married;43057;0;30;213;2;44;0;2;5;5;5;0;1
1960;Master;Together;83151;0;93;407;28;100;120;74;18;4;3;0;1
1964;PhD;Divorced;78825;0;35;483;74;114;169;37;18;13;3;0;1
1976;Master;Together;65104;0;4;738;0;232;13;20;50;7;7;0;0
1974;Graduation;Married;60093;0;92;502;12;109;16;6;90;10;6;0;1
1969;Graduation;Married;14045;1;24;11;0;5;2;1;1;3;7;0;0
1952;2n Cycle;Widow;28457;0;96;24;1;108;29;29;14;4;8;0;1
1958;PhD;Together;78952;0;11;1170;19;594;99;76;134;12;6;0;0
1976;Graduation;Divorced;46310;1;99;185;2;88;15;5;14;5;8;0;1
1955;Graduation;Together;76005;0;72;983;20;389;240;50;40;13;6;0;0
1964;Master;Single;58308;0;77;691;0;69;10;0;130;3;8;0;0
1944;PhD;Divorced;55614;0;85;504;13;131;8;0;26;6;7;0;1
1962;Master;Divorced;59432;0;88;317;25;265;25;19;12;11;5;0;1
1978;Graduation;Divorced;55563;0;22;29;1;9;2;0;2;3;3;0;0
1971;PhD;Together;78642;0;83;1396;0;322;46;35;17;4;6;0;1
1949;PhD;Together;67911;0;63;529;0;356;63;28;0;11;3;0;1
1944;Graduation;Married;65275;0;9;388;14;218;91;14;21;13;2;0;1
1950;Graduation;Together;27203;1;92;13;2;21;4;0;24;2;8;0;0
1961;Master;Together;48330;0;2;28;0;4;0;0;0;3;5;0;0
1990;Basic;Married;24279;0;6;16;36;21;20;62;108;3;8;0;1
1985;PhD;Married;64355;1;66;1047;0;140;67;38;153;12;8;0;1
1956;Master;Together;50943;0;49;31;0;7;2;0;6;3;5;0;0
1953;Graduation;Widow;53653;0;29;815;10;239;28;10;108;12;6;0;1
1976;Graduation;Married;65665;0;77;225;162;387;106;36;29;8;3;0;1
1989;Graduation;Single;81217;0;77;493;70;324;146;40;84;11;1;0;0
1992;Graduation;Married;34935;0;71;34;4;66;3;10;20;4;7;0;0
1959;Graduation;Divorced;61250;0;49;382;138;65;60;26;59;12;5;0;1
1981;PhD;Together;39665;1;97;127;1;56;0;1;31;3;7;0;1
1979;Graduation;Single;60152;0;6;325;83;300;86;58;91;12;3;0;1
1964;Graduation;Married;48920;0;93;238;17;68;8;10;6;5;7;0;1
1959;Master;Together;89120;0;78;1168;92;408;72;129;55;7;1;0;1
1946;PhD;Together;44124;0;62;284;0;55;0;6;52;5;8;0;1
1975;Master;Single;81169;0;47;1288;20;613;80;61;27;9;2;0;1
1961;Graduation;Married;36443;1;9;65;0;46;4;3;20;3;8;0;0
1990;Graduation;Single;26095;1;77;11;7;9;3;1;11;3;7;0;0
1959;Graduation;Together;71367;0;24;227;23;389;42;21;75;7;2;0;1
1944;Master;Married;80184;0;19;1035;134;670;25;38;0;10;3;0;1
1965;Graduation;Divorced;30630;1;67;27;1;12;2;0;10;3;7;0;0
1987;Master;Single;73454;0;95;982;73;351;56;14;175;6;5;0;0
1991;Graduation;Married;42691;0;48;179;2;64;38;17;58;6;5;0;1
1953;Graduation;Married;70503;0;73;1379;33;216;0;33;66;9;6;0;0
1987;Graduation;Married;25545;1;35;32;1;64;16;12;85;3;6;0;0
1986;Graduation;Married;32880;1;76;8;4;15;7;6;2;3;8;0;0
1958;PhD;Together;77863;0;20;881;38;319;16;25;12;10;2;0;1
1977;Master;Married;50353;0;72;141;15;153;67;31;35;6;3;0;1
1964;Graduation;Single;61839;0;20;1000;155;379;224;17;120;4;8;0;1
1960;PhD;Married;49154;1;69;206;10;67;30;27;71;8;6;0;1
1975;2n Cycle;Widow;47682;0;80;162;61;83;97;57;61;8;5;0;1
1969;Graduation;Single;72679;0;65;619;54;260;127;54;54;5;1;0;1
1977;Master;Together;57954;1;52;456;4;24;0;0;9;6;7;0;1
1962;Graduation;Married;65316;1;65;112;6;92;3;9;38;5;4;0;0
1982;Graduation;Single;28567;1;57;11;3;22;2;2;6;3;6;0;0
1951;Master;Together;47352;0;70;172;12;112;8;0;15;5;7;0;1
1967;Graduation;Together;44931;0;0;78;0;11;0;0;7;3;5;0;0
1967;Graduation;Divorced;76982;0;19;464;151;292;65;60;30;4;4;0;1
1952;2n Cycle;Together;57247;0;50;99;4;32;37;54;6;7;2;0;0
1981;Master;Single;22944;1;67;19;3;19;4;5;26;3;7;0;0
1977;2n Cycle;Together;25315;1;46;1;9;8;11;3;22;3;8;0;0
1969;Graduation;Widow;43638;0;37;63;10;83;7;19;19;4;7;0;1
1984;PhD;Single;42710;1;38;252;3;42;4;3;102;3;6;0;1
1982;PhD;Married;84169;0;9;1478;19;403;0;19;0;6;3;0;1
1976;Graduation;Together;54058;0;56;198;18;252;32;108;54;8;3;0;1
1990;2n Cycle;Married;24683;1;98;8;4;10;6;7;6;4;5;0;0
1964;Graduation;Widow;85620;0;68;416;46;925;60;107;46;4;1;0;0
1980;Graduation;Married;47850;1;72;42;7;43;20;12;10;4;6;0;0
1968;Graduation;Married;19514;1;47;14;3;21;2;1;28;2;8;0;0
1973;Master;Married;27159;1;33;17;0;3;0;0;1;3;6;0;0
1963;2n Cycle;Single;39548;1;87;15;4;10;3;4;18;3;3;0;0
1989;Graduation;Single;21474;1;0;6;16;24;11;0;34;2;7;0;0
1971;PhD;Single;60504;0;73;458;0;24;6;4;34;8;6;0;1
1963;Graduation;Married;22419;0;74;30;3;47;19;21;42;2;8;0;0
1949;Master;Married;81698;0;4;179;28;520;111;123;47;13;1;0;0
1952;Graduation;Together;43462;1;50;90;17;97;15;6;15;5;8;0;1
1978;PhD;Single;54880;1;57;308;85;137;102;45;118;11;5;0;1
1982;Graduation;Married;79908;0;30;557;129;761;29;185;111;7;2;0;1
1970;2n Cycle;Married;15315;0;27;7;4;13;15;8;17;4;5;0;0
1959;Graduation;Together;87771;0;61;1492;38;287;50;57;33;4;6;0;1
1978;Graduation;Married;33039;1;4;30;8;12;8;8;12;4;5;0;0
1980;Graduation;Single;81741;0;75;249;153;940;58;134;38;7;2;0;1
1971;Master;Together;71499;0;12;465;25;132;136;0;37;13;4;0;1
1970;2n Cycle;Married;62466;0;13;129;129;259;168;121;83;12;4;0;1
1963;PhD;Divorced;48799;0;9;174;18;81;28;6;24;7;3;0;0
1950;PhD;Together;52157;0;48;189;2;29;3;2;40;5;4;0;0
1962;Graduation;Single;66565;0;80;747;10;161;65;40;42;9;8;0;1
1951;Master;Together;29298;1;60;6;0;2;2;0;1;2;5;0;0
1979;Graduation;Single;47691;0;43;14;0;3;0;0;4;2;6;0;0
1970;Graduation;Together;38200;1;19;12;0;4;0;0;1;2;7;0;0
1974;Graduation;Married;44989;0;26;98;0;106;49;10;106;5;6;0;1
1968;PhD;Married;38443;1;58;32;0;5;0;0;1;3;7;0;0
1978;2n Cycle;Single;38593;1;42;51;12;49;17;24;24;3;8;0;1
1970;PhD;Together;64413;0;27;200;5;44;0;10;20;5;5;0;1
1981;Master;Married;36959;1;56;25;6;25;6;0;0;3;8;0;0
1977;PhD;Married;61996;0;27;1050;12;144;0;0;24;8;5;0;1
1968;Graduation;Married;51287;1;10;117;0;22;13;0;30;3;7;0;1
1970;Graduation;Married;13260;1;48;9;4;17;10;2;7;3;8;0;0
1966;PhD;Together;47472;1;39;56;0;11;0;0;8;4;5;0;0
1956;Master;Together;54603;1;85;145;13;46;17;2;4;4;7;0;1
1974;PhD;Married;45207;1;64;203;0;10;0;0;2;6;6;0;0
1951;Graduation;Together;40689;0;69;270;3;27;39;6;99;5;8;0;1
1967;2n Cycle;Together;47821;1;54;9;0;16;6;6;10;3;8;0;0
1951;Master;Married;27450;0;57;37;12;23;8;11;52;3;7;0;0
1983;Graduation;Together;39453;1;64;46;0;7;0;0;2;3;6;0;0
1971;2n Cycle;Together;26850;1;10;31;1;13;7;2;9;4;4;0;0
1955;Graduation;Widow;79800;0;65;1060;21;530;32;0;224;5;3;0;1
1961;Master;Married;61794;0;74;264;47;188;54;47;11;10;2;0;1
1955;Graduation;Together;53863;0;4;399;4;30;6;4;30;7;7;0;1
1959;Graduation;Together;24221;0;94;8;9;9;2;5;22;3;4;0;0
1984;PhD;Single;39684;1;41;19;0;35;6;4;17;2;7;1;0
1975;Master;Married;92163;0;25;817;183;797;106;163;20;5;2;0;1
1965;Master;Single;69882;0;94;292;127;635;132;127;165;9;1;0;0
1977;Graduation;Together;33178;1;9;12;6;2;11;2;16;3;4;0;0
1972;PhD;Married;59973;0;47;130;30;168;20;34;0;7;1;0;0
1975;Master;Together;17459;1;12;6;4;16;3;10;30;2;7;0;0
1969;Graduation;Divorced;23910;1;80;16;12;18;7;1;13;3;7;0;0
1969;Master;Married;42169;1;20;19;0;9;0;0;2;3;8;0;0
1978;2n Cycle;Married;26224;1;39;4;7;15;13;9;15;3;6;0;0
1981;Graduation;Together;31089;1;57;31;3;31;2;8;4;4;8;0;0
1961;Graduation;Single;30081;0;27;36;0;2;0;0;4;3;7;0;0
1960;Graduation;Together;62807;0;83;526;28;135;10;21;99;12;5;0;1
1955;Graduation;Single;72906;0;79;400;32;519;71;75;54;9;1;0;0
1948;PhD;Married;61467;0;69;410;16;114;0;5;49;10;5;0;1
1966;Master;Together;49618;1;77;80;3;26;4;2;14;3;7;0;0
1986;Master;Single;21888;1;15;88;10;46;2;3;64;2;10;0;1
1973;Graduation;Widow;42429;0;99;55;0;6;2;0;4;3;5;0;0
1956;Graduation;Divorced;26150;2;61;5;1;13;3;5;1;3;7;0;0
1975;Basic;Married;30801;0;23;8;4;5;15;2;11;3;7;0;0
1965;Graduation;Married;81168;0;84;410;0;592;147;22;22;7;3;0;1
1969;Master;Single;26877;0;74;101;13;76;20;18;40;6;6;0;0
1944;Master;Widow;45006;0;90;162;25;53;16;0;10;7;3;0;0
1973;Basic;Married;18978;1;41;2;8;1;4;7;15;3;8;0;0
1967;Graduation;Married;22574;2;28;25;0;8;2;0;2;3;7;0;0
1969;PhD;Single;48240;0;73;389;91;248;64;49;41;13;5;0;1
1974;Graduation;Married;45837;1;88;215;13;87;17;17;24;5;7;0;1
1965;Master;Single;35791;2;94;27;0;5;0;0;3;3;8;0;0
1976;PhD;Together;162397;1;31;85;1;16;2;1;2;1;1;0;0
1978;Graduation;Widow;54162;1;31;5;6;10;6;5;10;3;4;0;0
1960;Master;Married;30522;0;6;179;8;83;19;11;26;9;2;0;0
1961;PhD;Married;54456;0;23;352;0;27;10;0;15;7;6;0;1
1971;Graduation;Single;31632;0;92;17;8;12;11;15;32;2;7;0;0
1949;Graduation;Widow;72298;0;52;625;35;169;58;17;35;6;1;0;1
1978;2n Cycle;Single;36975;1;50;10;6;11;0;4;2;3;7;0;0
1955;2n Cycle;Married;72635;0;54;390;22;323;104;35;107;6;3;0;1
1976;Graduation;Married;13624;1;93;10;2;15;2;1;6;3;6;0;0
1975;Graduation;Single;84196;0;56;215;63;507;231;31;190;7;3;0;1
1960;Graduation;Together;70971;0;28;1001;17;572;93;125;17;5;7;0;1
1977;PhD;Divorced;34487;1;94;19;18;33;24;1;8;3;9;0;0
1977;Graduation;Single;28769;1;76;41;5;129;10;3;3;4;9;0;1
1970;PhD;Married;69084;1;43;1181;107;199;39;30;30;13;8;0;1
1958;PhD;Together;65488;0;46;603;45;207;36;18;54;6;1;0;0
1970;2n Cycle;Married;62466;0;13;129;129;259;168;121;83;12;4;0;1
1960;2n Cycle;Single;32218;0;27;10;24;15;13;1;30;3;7;0;0
1973;Graduation;Single;83917;0;12;514;22;732;42;198;79;7;3;0;1
1962;Graduation;Divorced;46102;2;3;14;0;1;0;0;1;2;7;0;0
1952;Graduation;Single;84574;0;72;387;20;713;38;54;163;11;5;0;1
1962;Graduation;Married;56181;0;6;121;103;69;8;44;48;7;4;0;1
1950;Master;Divorced;63120;0;53;965;69;279;54;41;69;9;7;0;1
1971;Graduation;Married;73691;0;58;707;21;250;85;43;73;8;2;0;1
1960;Graduation;Together;63381;0;78;571;50;142;33;50;159;13;2;0;1
1948;PhD;Together;76140;0;57;586;66;653;17;0;26;6;2;0;1
1959;PhD;Divorced;62859;0;37;1063;89;102;16;12;25;6;6;0;1
1964;Graduation;Single;45906;0;20;305;3;27;4;3;144;4;5;0;1
1947;Master;Together;77632;0;73;1200;105;758;0;42;147;6;2;0;1
1971;PhD;Married;46463;1;56;163;2;40;8;11;11;6;6;0;0
1970;Graduation;Together;105471;0;36;1009;181;104;202;21;207;13;3;0;1
1970;Master;Divorced;55282;1;9;125;6;73;8;4;19;6;4;0;0
1977;Master;Married;78710;0;42;721;0;152;119;50;50;12;4;0;1
1958;Graduation;Together;66886;0;28;315;4;62;41;31;146;7;5;0;1
1960;Master;Single;98777;0;23;1000;19;711;125;115;38;9;1;0;1
1985;Graduation;Together;29103;1;38;16;0;17;6;3;6;3;9;0;0
1974;Graduation;Married;67445;0;63;757;80;217;29;80;11;12;6;0;1
1950;PhD;Together;50616;0;71;30;2;25;0;1;9;4;2;0;0
1955;Graduation;Divorced;49431;0;9;219;3;100;26;0;17;5;8;0;1
1975;Graduation;Divorced;153924;0;81;1;1;1;1;1;1;0;0;0;0
1953;Graduation;Together;61278;0;87;111;3;28;2;6;15;4;6;0;0
1958;2n Cycle;Together;26490;0;92;45;47;52;21;20;25;5;6;0;0
1947;PhD;Together;73059;0;36;410;112;420;0;82;71;13;4;0;1
1966;PhD;Single;46734;1;86;100;1;39;6;1;76;3;6;0;0
1963;Graduation;Together;56253;0;83;509;0;65;7;11;5;9;6;0;1
1985;Graduation;Married;19986;1;74;3;6;5;0;2;6;3;7;0;0
1975;Graduation;Widow;58330;0;87;445;53;213;104;98;151;13;4;0;1
1980;Basic;Married;25965;0;29;2;2;11;41;7;11;3;8;0;0
1956;Master;Together;14661;0;88;4;1;11;6;2;2;3;6;0;0
1959;Graduation;Married;18690;0;77;6;1;7;23;4;19;2;8;0;0
1974;PhD;Together;45068;0;25;14;0;3;0;0;3;2;7;0;0
1987;Basic;Single;21063;1;34;1;10;11;19;3;15;3;6;0;0
1968;PhD;Married;29187;1;43;26;0;6;0;0;2;3;8;0;0
1971;2n Cycle;Married;54690;1;76;111;16;37;7;9;18;5;3;0;0
1964;PhD;Married;59304;0;81;418;61;428;80;51;10;10;5;0;1
1962;Master;Single;59247;0;87;327;9;122;19;14;83;9;6;0;1
1970;Graduation;Widow;66731;0;33;371;159;194;58;106;141;6;3;0;1
1980;Graduation;Married;77353;0;38;275;59;107;69;101;59;8;4;0;1
1975;PhD;Single;52614;0;63;789;0;142;12;9;38;8;8;0;0
1974;Graduation;Married;26751;2;26;1;1;5;0;3;1;2;8;0;0
1963;PhD;Married;81300;0;17;1004;12;145;32;12;36;5;5;0;1
1979;Graduation;Single;70337;0;75;187;81;149;25;43;91;12;1;0;0
1985;2n Cycle;Married;36145;1;13;56;4;76;17;1;18;3;9;0;1
1980;PhD;Single;65295;0;19;365;32;117;34;110;6;13;2;0;0
1963;Graduation;Divorced;68118;0;51;595;23;123;10;23;154;4;6;0;1
1967;Graduation;Divorced;68743;0;81;1132;134;384;175;134;115;13;7;0;1
1982;2n Cycle;Together;41039;0;32;34;11;137;179;61;45;5;8;0;1
1955;Graduation;Together;38946;0;84;116;6;82;6;6;41;6;5;0;0
1967;Graduation;Together;65777;0;87;565;32;435;28;32;54;6;1;0;0
1976;PhD;Divorced;66476;0;99;372;18;126;47;48;78;11;4;0;1
1972;PhD;Single;86857;0;96;899;102;838;133;102;40;10;2;0;1
1982;PhD;Married;160803;0;21;55;16;1622;17;3;4;1;0;0;0
1989;PhD;Together;77845;0;40;760;40;480;0;40;26;12;1;0;0
1969;PhD;Together;69476;0;3;260;86;559;63;9;67;4;2;0;1
1960;PhD;Divorced;50611;0;98;459;0;24;6;0;4;7;6;0;1
1970;Graduation;Single;61209;0;73;466;0;224;119;49;99;4;2;0;1
1958;Master;Together;42315;0;90;67;15;80;17;11;80;4;3;0;0
1952;Basic;Together;13084;0;29;2;0;7;3;7;10;3;6;0;0
1949;Master;Widow;47570;1;3;67;1;20;0;2;31;2;7;0;0
1961;Master;Married;61923;0;94;92;4;18;3;3;6;4;3;0;0
1995;Graduation;Single;34824;0;65;4;2;11;2;0;4;2;6;0;0
1949;PhD;Single;26518;1;33;20;1;28;3;3;2;3;8;0;0
1961;Graduation;Single;45938;0;46;273;11;178;62;83;29;6;6;0;1
1960;Graduation;Together;78468;0;29;434;22;388;104;22;34;10;4;0;1
1973;Graduation;Divorced;78901;0;99;321;11;309;33;26;34;5;4;0;1
1978;Graduation;Married;71427;2;26;212;123;177;15;64;23;8;4;0;1
1978;Graduation;Divorced;71022;0;30;909;12;278;0;12;242;11;8;0;1
1988;Master;Single;90247;0;27;1184;32;352;21;16;16;7;1;0;0
1968;Master;Divorced;41335;1;24;112;19;21;16;14;5;4;7;0;1
1986;Graduation;Married;71952;1;93;656;80;455;52;107;93;8;4;0;1
1970;PhD;Divorced;35682;1;34;23;0;8;6;2;18;3;2;0;0
1951;Graduation;Divorced;43185;0;88;537;6;42;16;6;30;6;8;0;1
1948;PhD;Together;66375;0;96;712;0;45;0;0;191;5;7;0;0
1971;Master;Married;35178;1;10;23;1;13;2;2;18;2;7;0;0
1986;Graduation;Married;25252;1;26;1;3;4;2;2;6;2;8;0;0
1965;Master;Single;55250;0;49;664;58;83;32;0;66;10;5;0;1
1975;Graduation;Single;33249;1;11;6;10;21;19;14;42;3;6;0;0
1953;Graduation;Together;58398;0;44;299;5;201;21;21;49;8;4;0;1
1982;Graduation;Together;50272;1;75;99;13;66;43;8;4;5;7;0;1
1975;PhD;Married;76618;0;64;749;40;294;121;160;147;5;1;0;0
1960;2n Cycle;Divorced;87305;0;19;345;25;501;63;138;80;8;2;0;1
1978;Graduation;Together;25851;1;45;9;4;18;7;5;5;3;7;0;0
1970;Graduation;Divorced;58710;0;77;440;81;368;0;122;174;9;6;0;1
1958;Graduation;Single;45160;1;9;8;2;5;3;0;3;2;7;0;0
1965;Master;Married;74806;0;1;670;9;249;0;28;9;5;4;0;1
1954;Graduation;Married;59111;0;90;524;0;134;28;28;155;8;7;0;1
1984;PhD;Married;18988;1;43;6;0;6;2;1;1;3;7;0;0
1965;Graduation;Married;72190;0;79;597;166;597;172;166;249;4;3;0;1
1976;Graduation;Married;7500;1;19;7;0;12;13;7;32;2;9;0;1
1966;Graduation;Married;44794;0;99;54;0;7;0;0;4;3;6;0;0
1955;Graduation;Married;80395;0;62;445;25;706;80;76;48;12;2;0;1
1976;Master;Divorced;75012;0;41;294;142;218;164;58;151;11;1;0;0
1965;Master;Married;56962;2;60;292;3;77;10;3;26;5;7;0;1
1991;Graduation;Together;89891;0;17;412;22;132;59;28;183;8;4;0;1
